{0.0110345, 0.0525217, 0.0}
{0.0124138, 0.184999, 0.0}
{0.0124138, 0.317476, 0.0}
{0.0117241, 0.447009, 0.0}
{0.0124138, 0.579486, 0.0}
{0.0131034, 0.706075, 0.0}
{0.0117241, 0.835609, 0.0}
{0.0124138, 0.965142, 0.0}
{0.0441379, 0.965142, 0.0}
{0.0434483, 0.832665, 0.0}
{0.0441379, 0.706075, 0.0}
{0.0441379, 0.576542, 0.0}
{0.0441379, 0.447009, 0.0}
{0.0448276, 0.317476, 0.0}
{0.0434483, 0.182055, 0.0}
{0.0434483, 0.0495778, 0.0}
{0.0758621, 0.0525217, 0.0}
{0.0758621, 0.187943, 0.0}
{0.0758621, 0.317476, 0.0}
{0.0765517, 0.449953, 0.0}
{0.0751724, 0.576542, 0.0}
{0.0751724, 0.706075, 0.0}
{0.0758621, 0.841497, 0.0}
{0.0744828, 0.968086, 0.0}
{0.106897, 0.968086, 0.0}
{0.106207, 0.838553, 0.0}
{0.106207, 0.706075, 0.0}
{0.107586, 0.570654, 0.0}
{0.107586, 0.444065, 0.0}
{0.108276, 0.32042, 0.0}
{0.107586, 0.187943, 0.0}
{0.107586, 0.0554656, 0.0}
{0.13931, 0.0554656, 0.0}
{0.13931, 0.184999, 0.0}
{0.13931, 0.314532, 0.0}
{0.13931, 0.444065, 0.0}
{0.13931, 0.576542, 0.0}
{0.13931, 0.709019, 0.0}
{0.138621, 0.838553, 0.0}
{0.138621, 0.968086, 0.0}
{0.171034, 0.965142, 0.0}
{0.171724, 0.841497, 0.0}
{0.171034, 0.709019, 0.0}
{0.170345, 0.576542, 0.0}
{0.170345, 0.447009, 0.0}
{0.171034, 0.317476, 0.0}
{0.169655, 0.184999, 0.0}
{0.171034, 0.0525217, 0.0}
{0.201379, 0.0525217, 0.0}
{0.202759, 0.182055, 0.0}
{0.202069, 0.317476, 0.0}
{0.202069, 0.447009, 0.0}
{0.202069, 0.576542, 0.0}
{0.202069, 0.703132, 0.0}
{0.202069, 0.838553, 0.0}
{0.202759, 0.968086, 0.0}
{0.233103, 0.962198, 0.0}
{0.234483, 0.835609, 0.0}
{0.233793, 0.706075, 0.0}
{0.233793, 0.576542, 0.0}
{0.234483, 0.447009, 0.0}
{0.233103, 0.314532, 0.0}
{0.233793, 0.179111, 0.0}
{0.233793, 0.0525217, 0.0}
{0.264828, 0.0554656, 0.0}
{0.265517, 0.184999, 0.0}
{0.265517, 0.311588, 0.0}
{0.265517, 0.447009, 0.0}
{0.264828, 0.573598, 0.0}
{0.265517, 0.703132, 0.0}
{0.266207, 0.835609, 0.0}
{0.265517, 0.968086, 0.0}
{0.297241, 0.97103, 0.0}
{0.298621, 0.841497, 0.0}
{0.297931, 0.711963, 0.0}
{0.297931, 0.576542, 0.0}
{0.297931, 0.449953, 0.0}
{0.296552, 0.314532, 0.0}
{0.297931, 0.190887, 0.0}
{0.297241, 0.0495778, 0.0}
{0.328966, 0.0525217, 0.0}
{0.328966, 0.190887, 0.0}
{0.328966, 0.32042, 0.0}
{0.328966, 0.449953, 0.0}
{0.328966, 0.573598, 0.0}
{0.328276, 0.703132, 0.0}
{0.329655, 0.835609, 0.0}
{0.329655, 0.962198, 0.0}
{0.36, 0.97103, 0.0}
{0.35931, 0.838553, 0.0}
{0.36069, 0.711963, 0.0}
{0.36069, 0.573598, 0.0}
{0.36069, 0.449953, 0.0}
{0.361379, 0.314532, 0.0}
{0.361379, 0.184999, 0.0}
{0.361379, 0.0525217, 0.0}
{0.393103, 0.0525217, 0.0}
{0.392414, 0.187943, 0.0}
{0.392414, 0.317476, 0.0}
{0.392414, 0.449953, 0.0}
{0.393103, 0.579486, 0.0}
{0.393103, 0.703132, 0.0}
{0.392414, 0.841497, 0.0}
{0.392414, 0.968086, 0.0}
{0.423448, 0.97103, 0.0}
{0.423448, 0.835609, 0.0}
{0.423448, 0.706075, 0.0}
{0.423448, 0.573598, 0.0}
{0.423448, 0.447009, 0.0}
{0.424138, 0.314532, 0.0}
{0.424138, 0.179111, 0.0}
{0.423448, 0.0554656, 0.0}
{0.455172, 0.0584096, 0.0}
{0.455172, 0.187943, 0.0}
{0.455172, 0.3057, 0.0}
{0.455172, 0.441121, 0.0}
{0.455862, 0.576542, 0.0}
{0.455862, 0.700188, 0.0}
{0.454483, 0.832665, 0.0}
{0.455862, 0.965142, 0.0}
{0.487586, 0.968086, 0.0}
{0.487586, 0.835609, 0.0}
{0.487586, 0.706075, 0.0}
{0.488276, 0.576542, 0.0}
{0.487586, 0.441121, 0.0}
{0.488276, 0.317476, 0.0}
{0.488276, 0.182055, 0.0}
{0.488276, 0.0525217, 0.0}
{0.51931, 0.0525217, 0.0}
{0.51931, 0.184999, 0.0}
{0.52, 0.317476, 0.0}
{0.51931, 0.447009, 0.0}
{0.52, 0.573598, 0.0}
{0.51931, 0.700188, 0.0}
{0.518621, 0.832665, 0.0}
{0.518621, 0.962198, 0.0}
{0.549655, 0.968086, 0.0}
{0.551035, 0.838553, 0.0}
{0.551035, 0.709019, 0.0}
{0.550345, 0.570654, 0.0}
{0.551035, 0.444065, 0.0}
{0.551035, 0.314532, 0.0}
{0.549655, 0.182055, 0.0}
{0.549655, 0.0495778, 0.0}
{0.582759, 0.0495778, 0.0}
{0.582069, 0.184999, 0.0}
{0.582069, 0.317476, 0.0}
{0.582069, 0.444065, 0.0}
{0.582069, 0.576542, 0.0}
{0.582069, 0.703132, 0.0}
{0.582069, 0.838553, 0.0}
{0.582759, 0.965142, 0.0}
{0.613793, 0.965142, 0.0}
{0.614483, 0.832665, 0.0}
{0.613793, 0.706075, 0.0}
{0.614483, 0.573598, 0.0}
{0.613103, 0.441121, 0.0}
{0.614483, 0.308644, 0.0}
{0.614483, 0.184999, 0.0}
{0.614483, 0.0495778, 0.0}
{0.645517, 0.0495778, 0.0}
{0.646207, 0.182055, 0.0}
{0.644828, 0.308644, 0.0}
{0.646207, 0.441121, 0.0}
{0.646897, 0.570654, 0.0}
{0.644828, 0.706075, 0.0}
{0.645517, 0.835609, 0.0}
{0.645517, 0.968086, 0.0}
{0.677931, 0.965142, 0.0}
{0.677931, 0.838553, 0.0}
{0.677241, 0.706075, 0.0}
{0.677931, 0.576542, 0.0}
{0.677931, 0.441121, 0.0}
{0.677931, 0.311588, 0.0}
{0.677931, 0.184999, 0.0}
{0.677931, 0.0466338, 0.0}
{0.709655, 0.0525217, 0.0}
{0.709655, 0.182055, 0.0}
{0.708966, 0.311588, 0.0}
{0.709655, 0.444065, 0.0}
{0.708276, 0.573598, 0.0}
{0.710345, 0.703132, 0.0}
{0.709655, 0.838553, 0.0}
{0.709655, 0.968086, 0.0}
{0.74069, 0.968086, 0.0}
{0.74069, 0.835609, 0.0}
{0.74069, 0.706075, 0.0}
{0.741379, 0.573598, 0.0}
{0.74069, 0.441121, 0.0}
{0.74069, 0.308644, 0.0}
{0.74069, 0.184999, 0.0}
{0.74069, 0.0584096, 0.0}
{0.771724, 0.0495778, 0.0}
{0.772414, 0.184999, 0.0}
{0.771724, 0.317476, 0.0}
{0.772414, 0.444065, 0.0}
{0.772414, 0.570654, 0.0}
{0.771724, 0.703132, 0.0}
{0.772414, 0.832665, 0.0}
{0.772414, 0.965142, 0.0}
{0.804138, 0.968086, 0.0}
{0.804828, 0.832665, 0.0}
{0.804138, 0.703132, 0.0}
{0.804828, 0.576542, 0.0}
{0.804138, 0.444065, 0.0}
{0.804138, 0.314532, 0.0}
{0.804828, 0.182055, 0.0}
{0.804138, 0.0554656, 0.0}
{0.837241, 0.0525217, 0.0}
{0.836552, 0.184999, 0.0}
{0.835172, 0.308644, 0.0}
{0.836552, 0.441121, 0.0}
{0.835862, 0.573598, 0.0}
{0.835172, 0.711963, 0.0}
{0.835862, 0.835609, 0.0}
{0.835862, 0.965142, 0.0}
{0.867586, 0.968086, 0.0}
{0.868276, 0.835609, 0.0}
{0.867586, 0.706075, 0.0}
{0.867586, 0.573598, 0.0}
{0.868276, 0.449953, 0.0}
{0.868276, 0.311588, 0.0}
{0.867586, 0.184999, 0.0}
{0.867586, 0.0495778, 0.0}
{0.89931, 0.0495778, 0.0}
{0.9, 0.184999, 0.0}
{0.9, 0.317476, 0.0}
{0.89931, 0.441121, 0.0}
{0.89931, 0.570654, 0.0}
{0.89931, 0.703132, 0.0}
{0.89931, 0.835609, 0.0}
{0.89931, 0.965142, 0.0}
{0.930345, 0.968086, 0.0}
